week_date,category,brand,description,price,image,link,week_start,week_end,price_clean
04/17/24 - 04/23/24,Mother's Day Gift Ideas,Huntington Home,Luxury 2 Wick Candle,$4.99*,https://www.aldi.us/fileadmin/_processed_/0/9/csm_huntington-home-luxury-2-wick-candle-708661-ov_95d38eb4a7.jpg,https://www.aldi.ushttps://www.aldi.us/weekly-specials/this-weeks-aldi-finds/this-weeks-aldi-finds-detail/ps/p/huntington-homeluxury-2-wick-candle/,2024-04-17,2024-04-23,4.99
04/17/24 - 04/23/24,Mother's Day Gift Ideas,Huntington Home,Luxury Reed Diffuser,$4.99*,https://www.aldi.us/fileadmin/_processed_/b/e/csm_huntington-home-luxury-reed-diffuser-705783-ov_629a61bced.jpg,https://www.aldi.ushttps://www.aldi.us/weekly-specials/this-weeks-aldi-finds/this-weeks-aldi-finds-detail/ps/p/huntington-homeluxury-reed-diffuser/,2024-04-17,2024-04-23,4.99
04/17/24 - 04/23/24,Mother's Day Gift Ideas,Huntington Home,Single Wick Candle,$2.49*,https://www.aldi.us/fileadmin/_processed_/f/0/csm_huntington-home-single-wick-candle-711451-ov_1b3f854259.jpg,https://www.aldi.ushttps://www.aldi.us/weekly-specials/this-weeks-aldi-finds/this-weeks-aldi-finds-detail/ps/p/huntington-homesingle-wick-candle/,2024-04-17,2024-04-23,2.49
04/17/24 - 04/23/24,Mother's Day Gift Ideas,Lego,Botanical,$14.99*,https://www.aldi.us/fileadmin/_processed_/4/6/csm_lego-lego-botanical-711596-ov_e4a22b1abc.jpg,https://www.aldi.ushttps://www.aldi.us/weekly-specials/this-weeks-aldi-finds/this-weeks-aldi-finds-detail/ps/p/legolego-botanical/,2024-04-17,2024-04-23,14.99
04/17/24 - 04/23/24,Mother's Day Gift Ideas,Pembrook,All Occasion Gift Bag,$2.99*,https://www.aldi.us/fileadmin/_processed_/b/d/csm_pembrook-all-occasion-gift-bag-707416-ov_c5748809af.jpg,https://www.aldi.ushttps://www.aldi.us/weekly-specials/this-weeks-aldi-finds/this-weeks-aldi-finds-detail/ps/p/pembrookall-occasion-gift-bag/,2024-04-17,2024-04-23,2.99
04/17/24 - 04/23/24,Mother's Day Gift Ideas,Pembrook,Mother's Day Card,99*,https://www.aldi.us/fileadmin/_processed_/a/e/csm_pembrook-mothers-day-card-711462-ov_68d2ecb2b3.jpg,https://www.aldi.ushttps://www.aldi.us/weekly-specials/this-weeks-aldi-finds/this-weeks-aldi-finds-detail/ps/p/pembrookmothers-day-card/,2024-04-17,2024-04-23,99.0
04/17/24 - 04/23/24,Mother's Day Gift Ideas,Pembrook,Pop UP Mother's Day Card,$2.49*,https://www.aldi.us/fileadmin/_processed_/8/8/csm_pembrook-pop-up-mothers-day-card-700389-ov_0695b1e160.jpg,https://www.aldi.ushttps://www.aldi.us/weekly-specials/this-weeks-aldi-finds/this-weeks-aldi-finds-detail/ps/p/pembrookpop-up-mothers-day-card/,2024-04-17,2024-04-23,2.49
04/17/24 - 04/23/24,Mother's Day Gift Ideas,Serra,Fashion Earrings,$4.99*,https://www.aldi.us/fileadmin/_processed_/2/d/csm_serra-fashion-earrings-711407-ov_4dbb6907d6.jpg,https://www.aldi.ushttps://www.aldi.us/weekly-specials/this-weeks-aldi-finds/this-weeks-aldi-finds-detail/ps/p/serrafashion-earrings/,2024-04-17,2024-04-23,4.99
04/17/24 - 04/23/24,Mother's Day Gift Ideas,Serra,Water Bottle Holder Bag,$9.99*,https://www.aldi.us/fileadmin/_processed_/2/9/csm_serra-water-bottle-holder-bag-830753-ov_ae2dca4251.jpg,https://www.aldi.ushttps://www.aldi.us/weekly-specials/this-weeks-aldi-finds/this-weeks-aldi-finds-detail/ps/p/serrawater-bottle-holder-bag/,2024-04-17,2024-04-23,9.99
04/17/24 - 04/23/24,Mother's Day Gift Ideas,Serra,Wine Dispensing Tote,$12.99*,https://www.aldi.us/fileadmin/_processed_/5/5/csm_serra-wine-dispensing-tote-830691-ov_e74a87ad1d.jpg,https://www.aldi.ushttps://www.aldi.us/weekly-specials/this-weeks-aldi-finds/this-weeks-aldi-finds-detail/ps/p/serrawine-dispensing-tote/,2024-04-17,2024-04-23,12.99
04/17/24 - 04/23/24,Home Goods,Crofton,Bamboo Bed Tray,$9.99*,https://www.aldi.us/fileadmin/_processed_/2/0/csm_crofton-bamboo-bed-tray-49622-ov_5bcdcbac8e.jpg,https://www.aldi.ushttps://www.aldi.us/weekly-specials/this-weeks-aldi-finds/this-weeks-aldi-finds-detail/ps/p/croftonbamboo-bed-tray-1/,2024-04-17,2024-04-23,9.99
04/17/24 - 04/23/24,Home Goods,Huntington Home,3 Drawer Organizer,$29.99*,https://www.aldi.us/fileadmin/_processed_/d/7/csm_huntington-home-3-drawer-organizer-710893-ov_34cdb10c02.jpg,https://www.aldi.ushttps://www.aldi.us/weekly-specials/this-weeks-aldi-finds/this-weeks-aldi-finds-detail/ps/p/huntington-home3-drawer-organizer/,2024-04-17,2024-04-23,29.99
04/17/24 - 04/23/24,Home Goods,Huntington Home,4 Tier Shoe Rack,$19.99*,https://www.aldi.us/fileadmin/_processed_/a/c/csm_huntington-home-4-tier-shoe-rack-708413-ov_fd5cdc8f90.jpg,https://www.aldi.ushttps://www.aldi.us/weekly-specials/this-weeks-aldi-finds/this-weeks-aldi-finds-detail/ps/p/huntington-home4-tier-shoe-rack/,2024-04-17,2024-04-23,19.99
04/17/24 - 04/23/24,Home Goods,Huntington Home,Allergy Protection Bed Pillow,$5.99*,https://www.aldi.us/fileadmin/_processed_/8/7/csm_huntington-home-allergy-protection-bed-pillow-2172-ov_39bcb78b95.jpg,https://www.aldi.ushttps://www.aldi.us/weekly-specials/this-weeks-aldi-finds/this-weeks-aldi-finds-detail/ps/p/huntington-homeallergy-protection-bed-pillow/,2024-04-17,2024-04-23,5.99
04/17/24 - 04/23/24,Home Goods,Huntington Home,Drawer Organizer,$4.99*,https://www.aldi.us/fileadmin/_processed_/d/8/csm_huntington-home-drawer-organizer-708979-ov_a18f454376.jpg,https://www.aldi.ushttps://www.aldi.us/weekly-specials/this-weeks-aldi-finds/this-weeks-aldi-finds-detail/ps/p/huntington-homedrawer-organizer/,2024-04-17,2024-04-23,4.99
04/17/24 - 04/23/24,Home Goods,Huntington Home,Embroidered Quilt Set,$34.99*,https://www.aldi.us/fileadmin/_processed_/3/b/csm_huntington-home-embroidered-quilt-set-41613-ov_5f8d802a66.jpg,https://www.aldi.ushttps://www.aldi.us/weekly-specials/this-weeks-aldi-finds/this-weeks-aldi-finds-detail/ps/p/huntington-homeembroidered-quilt-set/,2024-04-17,2024-04-23,34.99
04/17/24 - 04/23/24,Home Goods,Huntington Home,Full/Queen or King Cotton Blanket,$14.99*,https://www.aldi.us/fileadmin/_processed_/d/2/csm_huntington-home-fullqueen-or-king-cotton-blanket-55536-ov_ce2eb2e6b7.jpg,https://www.aldi.ushttps://www.aldi.us/weekly-specials/this-weeks-aldi-finds/this-weeks-aldi-finds-detail/ps/p/huntington-homefull-queen-or-king-cotton-blanket/,2024-04-17,2024-04-23,14.99
